n,name_c,Worldwide_TOP_10,Worldwide_TOP_11_50,Worldwide_TOP_51_100,Streams_Worldwide,Streams_LATAM,LATAM_TOP_10,LATAM_TOP_11_50,LATAM_TOP_51_100,Streams_EUROPE,EUROPE_TOP_10,EUROPE_TOP_11_50,EUROPE_TOP_51_100,Streams_ASIA,ASIA_TOP_10,ASIA_TOP_11_50,ASIA_TOP_51_100,Streams_OCEANIA,OCEANIA_TOP_10,OCEANIA_TOP_11_50,OCEANIA_TOP_51_100,Streams_NORTH_AMERICA,NORTH_AMERICA_TOP_10,NORTH AMERICA_TOP_11_50,NORTH AMERICA_TOP_51_100,id,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_seg
90,There's Nothing Holdin' Me Back,0,1,0,481853286,76102082,0,1,0,214940623,0,1,0,42851085,0,1,0,27718560,0,1,0,120240936,0,1,0,79cuOz3SPQTuFrp8WgftA,Shawn Mendes,0.857,0.8,2,-4.035,1,0.0583,0.381,0,0.0913,0.966,121.996,4,199.44
91,There for You,0,0,1,249414027,35838010,0,0,1,104953807,0,0,1,45765109,0,1,0,18073627,0,0,1,44783474,0,0,1,6jA8HL9i4QGzsj6fjoxp8,Martin Garrix,0.611,0.644,6,-7.607,0,0.0553,0.124,0,0.124,0.13,105.969,4,221.904
92,Thunder,0,1,0,532156220,76365637,0,1,0,228260523,0,1,0,47029215,0,1,0,33048659,1,0,0,147452186,0,1,0,0tKcYR2II1VCQWT79i5Nr,Imagine Dragons,0.6,0.81,0,-4.749,1,0.0479,0.00683,0.21,0.155,0.298,167.88,4,187.147
93,Too Good At Goodbyes,0,0,1,200660505,22926708,0,0,1,73577306,0,0,1,29431039,0,1,0,11266790,0,0,1,63458662,0,0,1,1mXVgsBdtIVeCLJnSnmtd,Sam Smith,0.698,0.375,5,-8.279,1,0.0491,0.652,0,0.173,0.534,91.92,4,201
94,Unforgettable,1,0,0,688520127,41648501,0,0,1,291915477,1,0,0,18175171,0,0,1,34106204,1,0,0,302674774,1,0,0,3B54sVLJ402zGa6Xm4YGN,French Montana,0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,4,233.902
95,Weak,0,0,1,201477526,7091788,0,0,1,99860954,0,0,1,18781988,0,0,1,4589168,0,0,1,71153628,0,0,1,3E2Zh20GDCR9B1EYjfXWy,AJR,0.673,0.637,5,-4.518,1,0.0429,0.137,0,0.184,0.678,123.98,4,201.16
96,Wild Thoughts,0,1,0,443071443,44926197,0,1,0,198957844,0,1,0,18419689,0,0,1,28340442,0,1,0,152427271,0,1,0,1OAh8uOEOvTDqkKFsKksC,DJ Khaled,0.671,0.672,0,-3.094,0,0.0688,0.0329,0,0.118,0.632,97.98,4,204.173
97,XO TOUR Llif3,1,0,0,578715699,29074141,0,0,1,155495405,0,1,0,19602877,0,0,1,27146342,0,1,0,347396934,1,0,0,7GX5flRQZVHRAGd6B4TmD,Lil Uzi Vert,0.732,0.75,11,-6.366,0,0.231,0.00264,0,0.109,0.401,155.096,4,182.707
98,You Don't Know Me,0,0,1,250536396,2124566,0,0,1,218372778,0,1,0,3066712,0,0,1,15070313,0,0,1,11902027,0,0,1,00lNx0OcTJrS3MKHcB80H,Jax Jones,0.876,0.669,11,-6.054,0,0.138,0.163,0,0.185,0.682,124.007,4,213.947
99,Young Dumb & Broke,0,0,1,319736619,4896506,0,0,1,68035083,0,0,1,45544200,0,1,0,30304091,0,1,0,170956739,0,1,0,5Z3GHaZ6ec9bsiI5Benrb,Khalid,0.798,0.539,1,-6.351,1,0.0421,0.199,1.66e-05,0.165,0.394,136.949,4,202.547
100,Your Song,0,0,1,231317947,5512661,0,0,1,139769011,0,1,0,28553347,0,1,0,21579327,0,1,0,35903601,0,0,1,4c2W3VKsOFoIg2SFaO6DY,Rita Ora,0.855,0.624,1,-4.093,1,0.0488,0.158,0,0.0513,0.962,117.959,4,180.757
