n,name_c,Worldwide_TOP_10,Worldwide_TOP_11_50,Worldwide_TOP_51_100,Streams_Worldwide,Streams_LATAM,LATAM_TOP_10,LATAM_TOP_11_50,LATAM_TOP_51_100,Streams_EUROPE,EUROPE_TOP_10,EUROPE_TOP_11_50,EUROPE_TOP_51_100,Streams_ASIA,ASIA_TOP_10,ASIA_TOP_11_50,ASIA_TOP_51_100,Streams_OCEANIA,OCEANIA_TOP_10,OCEANIA_TOP_11_50,OCEANIA_TOP_51_100,Streams_NORTH_AMERICA,NORTH_AMERICA_TOP_10,NORTH AMERICA_TOP_11_50,NORTH AMERICA_TOP_51_100,id,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_seg
20,Congratulations,0,1,0,533959120,33920112,0,0,1,130962167,0,1,0,22876339,0,0,1,33424487,1,0,0,312776015,1,0,0,3a1lNhkSLSkpJE4MSHpDu,Post Malone,0.627,0.812,6,-4.215,1,0.0358,0.198,0,0.212,0.504,123.071,4,220.293
21,Despacito,1,0,0,717960928,294734828,1,0,0,287795986,1,0,0,20686625,0,0,1,7186966,0,0,1,107556523,0,1,0,4aWmUDTfIPGksMNLV2rQP,Luis Fonsi,0.66,0.786,2,-4.757,1,0.17,0.209,0,0.112,0.846,177.833,4,228.2
22,Despacito (Remix),1,0,0,910422437,147849519,0,1,0,370799249,1,0,0,77294601,1,0,0,40363381,1,0,0,274115687,1,0,0,5CtI0qwDJkDQGwXD1H1cL,Luis Fonsi,0.694,0.815,2,-4.328,1,0.12,0.229,0,0.0924,0.813,88.931,4,228.827
23,DNA.,0,0,1,277291501,3094828,0,0,1,45693609,0,0,1,5705565,0,0,1,14594896,0,0,1,208202603,0,1,0,6HZILIRieu8S0iqY8kIKh,Kendrick Lamar,0.637,0.514,1,-6.763,1,0.365,0.0047,0,0.094,0.402,139.931,4,185.947
24,Don't Let Me Down,0,0,1,181493976,40442996,0,0,1,56468384,0,0,1,16188343,0,0,1,8584998,0,0,1,59809255,0,0,1,0QsvXIfqM0zZoerQfsI9l,The Chainsmokers,0.542,0.859,11,-5.651,1,0.197,0.16,0.00466,0.137,0.403,159.797,4,208.053
25,Don't Wanna Know,0,0,1,2253749,1577870,0,0,1,84942,0,0,1,590937,0,0,1,0,0,0,0,0,0,0,0,2QbFClFyhMMtiurUjuQlA,Maroon 5,0.775,0.617,7,-6.166,1,0.0701,0.341,0,0.0985,0.485,100.048,4,214.265
26,Dusk Till Dawn,0,0,1,328016827,41790646,0,0,1,163911435,0,1,0,35607172,0,1,0,19033691,0,0,1,67673883,0,0,1,1j4kHkkpqZRBwE0A4CN4Y,ZAYN,0.258,0.437,11,-6.593,0,0.039,0.101,1.27e-06,0.106,0.0967,180.043,4,239
27,El Amante,0,0,1,233465596,171108626,1,0,0,60445058,0,0,1,239526,0,0,1,0,0,0,0,1672386,0,0,1,3umS4y3uQDkqekNjVpiRU,Nicky Jam,0.683,0.691,8,-5.535,1,0.0432,0.243,0,0.14,0.732,179.91,4,219.507
28,Escapate Conmigo,0,0,1,265266109,193877029,1,0,0,45065195,0,0,1,251598,0,0,1,0,0,0,0,26072287,0,0,1,2cnKEkpVUSV4wnjQiTWfH,Wisin,0.747,0.864,8,-3.181,0,0.0599,0.0245,4.46e-05,0.0853,0.754,92.028,4,232.787
29,Fake Love,0,0,1,294420811,13965558,0,0,1,65014555,0,0,1,10048452,0,0,1,14992231,0,0,1,190400015,0,1,0,343YBumqHu19cGoGARUTs,Drake,0.927,0.488,9,-9.433,0,0.42,0.108,0,0.196,0.605,133.987,4,210.937
30,Feels,0,1,0,406794623,70710159,0,1,0,173805692,0,1,0,35839067,0,1,0,26384796,0,1,0,100054909,0,0,1,5bcTCxgc7xVfSaMV3RuVk,Calvin Harris,0.893,0.745,11,-3.105,0,0.0571,0.0642,0,0.0943,0.872,101.018,4,223.413
31,Felices los 4,0,1,0,366441858,245795456,1,0,0,79009410,0,0,1,594265,0,0,1,0,0,0,0,41042727,0,0,1,0qYTZCo5Bwh1nsUFGZP3z,Maluma,0.755,0.789,5,-4.502,1,0.146,0.231,0,0.351,0.737,93.973,4,229.849
32,Friends,0,0,1,270161852,43427366,0,1,0,128418807,0,0,1,21103664,0,0,1,20177925,0,0,1,57034090,0,0,1,7nZmah2llfvLDiUjm0kiy,Justin Bieber,0.744,0.739,8,-5.35,1,0.0387,0.00459,0,0.306,0.649,104.99,4,189.467
33,Galway Girl,0,1,0,429790259,34438443,0,0,1,259215967,1,0,0,32305897,0,1,0,30683129,0,1,0,73146823,0,0,1,0afhq8XCExXpqazXczTSv,Ed Sheeran,0.624,0.876,9,-3.374,1,0.1,0.0735,0,0.327,0.781,99.943,4,170.827
34,Glorious,0,0,1,274649924,13633162,0,0,1,133724528,0,1,0,15630484,0,0,1,31141946,0,1,0,80519804,0,0,1,0CokSRCu5hZgPxcZBaEzV,Macklemore,0.731,0.794,0,-5.126,0,0.0522,0.0323,2.59e-05,0.112,0.356,139.994,4,220.454
35,goosebumps,0,0,1,256780078,0,0,0,0,28204972,0,0,1,3985,0,0,1,12750050,0,0,1,215821071,0,1,0,6gBFPUFcJLzWGx4lenP6h,Travis Scott,0.841,0.728,7,-3.37,1,0.0484,0.0847,0,0.149,0.43,130.049,4,243.837
36,Havana,0,1,0,519935280,76107160,0,1,0,215146266,0,1,0,54541717,0,1,0,29979892,0,1,0,144160245,0,1,0,0ofbQMrRDsUaVKq2mGLEA,Camila Cabello,0.768,0.517,7,-4.323,0,0.0312,0.186,3.8e-05,0.104,0.418,104.992,4,216.897
37,Hear Me Now,0,0,1,201307431,113263229,0,1,0,68884745,0,0,1,6593183,0,0,1,1359253,0,0,1,11207021,0,0,1,1a5Yu5L18qNxVhXx38njO,Alok,0.789,0.442,11,-7.844,1,0.0421,0.586,0.00366,0.0927,0.45,121.971,4,192.846
38,How Far I'll Go,0,0,1,229568007,9030080,0,0,1,95397376,0,0,1,34136905,0,1,0,16378255,0,0,1,74625391,0,0,1,5hYTyyh2odQKphUbMqc5g,Alessia Cara,0.314,0.555,9,-9.601,1,0.37,0.157,0.000108,0.067,0.159,179.666,4,175.517
39,HUMBLE.,1,0,0,649063841,37372535,0,0,1,167525853,0,1,0,28360343,0,1,0,41280176,1,0,0,374524934,1,0,0,7KXjTSCq5nL1LoYtL7XAw,Kendrick Lamar,0.904,0.611,1,-6.842,0,0.0888,0.000259,2.03e-05,0.0976,0.4,150.02,4,177
40,I'm the One,1,0,0,617776515,59295844,0,1,0,230389915,0,1,0,61577066,1,0,0,33061195,1,0,0,233452495,0,1,0,3DXncPQOG4VBw3QHh3S81,DJ Khaled,0.609,0.668,7,-4.284,1,0.0367,0.0552,0,0.167,0.811,80.924,4,288.6
41,I Don't Wanna Live Forever,0,1,0,546057426,79777613,0,1,0,211879075,0,1,0,58206754,1,0,0,27821066,0,1,0,168372918,0,1,0,3NdDpSvN911VPGivFlV5d,ZAYN,0.735,0.451,0,-8.374,1,0.0585,0.0631,1.3e-05,0.325,0.0862,117.973,4,245.2
42,I Feel It Coming,0,1,0,403869930,99394236,0,1,0,141095399,0,1,0,21968340,0,0,1,21362691,0,1,0,120049264,0,1,0,5GXAXm5YOmYT0kL5jHvYB,The Weeknd,0.768,0.813,0,-5.94,0,0.128,0.427,0,0.102,0.579,92.994,4,269.187
43,I Like Me Better,0,0,1,271858954,4597955,0,0,1,104297884,0,0,1,46872814,0,1,0,27283856,0,1,0,88806445,0,0,1,1wjzFQodRWrPcQ0AnYnvQ,Lauv,0.752,0.505,9,-7.621,1,0.253,0.535,2.55e-06,0.104,0.419,91.97,4,197.437
